"","Prevalence_Ascaris","AscAbundance","Prevalence_Jej","JejAbundance","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species","TotalReads","Rel_abund","Rel_prev","Rel_prev_Ascaris","Rel_prev_Jej","Rel_abund_Ascaris","Rel_abund_Jej"
"ASV2707",0,0,2,44.7423726690042,2,44.7423726690042,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.00447423726690042,3.57142857142857,0,22.2222222222222,0,0.00447423726690042
"ASV1",47,17521709.4777624,9,802688.27494753,56,18324397.7527099,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,1832.43977527099,100,100,100,1752.17094777624,80.268827494753
"ASV28",18,185411.807124525,5,11253.3700102698,23,196665.177134795,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",NA,1e+06,19.6665177134795,41.0714285714286,38.2978723404255,55.5555555555556,18.5411807124525,1.12533700102698
"ASV85",8,3719.08931954599,2,7649.74783697032,10,11368.8371565163,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,1.13688371565163,17.8571428571429,17.0212765957447,22.2222222222222,0.371908931954599,0.764974783697032
"ASV106",9,20723.5923000477,6,5428.91524056377,15,26152.5075406115,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister","succinatiphilus",1e+06,2.61525075406115,26.7857142857143,19.1489361702128,66.6666666666667,2.07235923000477,0.542891524056377
"ASV73",6,35663.847674698,0,0,6,35663.847674698,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,3.5663847674698,10.7142857142857,12.7659574468085,0,3.5663847674698,0
"ASV186",4,32317.0121624332,2,10060.3861025844,6,42377.3982650176,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,4.23773982650176,10.7142857142857,8.51063829787234,22.2222222222222,3.23170121624332,1.00603861025844
"ASV244",4,4070.01723594826,1,61.6532313999908,5,4131.67046734826,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA,1e+06,0.413167046734826,8.92857142857143,8.51063829787234,11.1111111111111,0.407001723594827,0.00616532313999908
"ASV312",3,230.690309281407,2,105.123932147687,5,335.814241429094,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.0335814241429094,8.92857142857143,6.38297872340426,22.2222222222222,0.0230690309281407,0.0105123932147687
"ASV105",12,28343.0336807647,3,1364.57617984249,15,29707.6098606072,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA,1e+06,2.97076098606072,26.7857142857143,25.531914893617,33.3333333333333,2.83430336807647,0.136457617984249
