"","Prevalence_Ascaris","AscAbundance","Prevalence_Jej","JejAbundance","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species","TotalReads","Rel_abund","Rel_prev","Rel_prev_Ascaris","Rel_prev_Jej","Rel_abund_Ascaris","Rel_abund_Jej"
"ASV748",0,0,2,56.9443334728505,2,56.9443334728505,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,0.00569443334728505,3.57142857142857,0,22.2222222222222,0,0.00569443334728505
"ASV1078",0,0,2,78.2918195930841,2,78.2918195930841,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,0.00782918195930841,3.57142857142857,0,22.2222222222222,0,0.00782918195930841
"ASV194",3,644.557422201699,0,0,3,644.557422201699,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.0644557422201699,5.35714285714286,6.38297872340426,0,0.0644557422201699,0
"ASV88",8,14650.1641033679,7,7457.85183736364,15,22108.0159407315,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA,1e+06,2.21080159407315,26.7857142857143,17.0212765957447,77.7777777777778,1.46501641033679,0.745785183736364
"ASV250",6,2537.97659909182,4,3251.59761996059,10,5789.57421905241,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,1e+06,0.578957421905241,17.8571428571429,12.7659574468085,44.4444444444444,0.253797659909182,0.325159761996059
"ASV1140",0,0,3,148.398650233077,3,148.398650233077,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera",NA,1e+06,0.0148398650233077,5.35714285714286,0,33.3333333333333,0,0.0148398650233077
"ASV86",10,28347.8923667317,2,2937.69143684984,12,31285.5838035815,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA,1e+06,3.12855838035815,21.4285714285714,21.2765957446809,22.2222222222222,2.83478923667317,0.293769143684984
"ASV173",4,6938.22724147686,2,1867.49107491772,6,8805.71831639458,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospira",NA,1e+06,0.880571831639458,10.7142857142857,8.51063829787234,22.2222222222222,0.693822724147686,0.186749107491772
"ASV64",1,196.553757452663,4,6332.62464205394,5,6529.17839950661,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-007",NA,1e+06,0.652917839950661,8.92857142857143,2.12765957446809,44.4444444444444,0.0196553757452663,0.633262464205394
"ASV15",18,1139858.60739899,0,0,18,1139858.60739899,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,113.985860739899,32.1428571428571,38.2978723404255,0,113.985860739899,0
"ASV350",0,0,3,1734.81286499989,3,1734.81286499989,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Coriobacteriaceae UCG-002",NA,1e+06,0.173481286499989,5.35714285714286,0,33.3333333333333,0,0.173481286499989
"ASV211",9,7010.60302563034,5,1606.50136544856,14,8617.1043910789,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Catenisphaera",NA,1e+06,0.86171043910789,25,19.1489361702128,55.5555555555556,0.701060302563034,0.160650136544856
"ASV16",23,622792.410006966,4,120832.929664749,27,743625.339671715,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,74.3625339671715,48.2142857142857,48.936170212766,44.4444444444444,62.2792410006966,12.0832929664749
