"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Bacteria_name","Genus","Species","AbundLev"
"ASV3790",4.40917486203452,6.88464947036319,3.41132994019124,2.01817167822156,0.0435733846767637,0.0794887999058751,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV1888",4.37766438022084,6.87588695984895,3.41139627195408,2.01556383712361,0.0438456044508955,0.0794887999058751,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV128",13.7213376524935,-5.73612059316426,3.53558452537932,-1.62239667924468,0.104718439741771,0.148839809019638,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV80",207.474760323194,27.3865751433073,3.40065471872007,8.05332425916354,8.05750629268937e-16,9.26516348826403e-14,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter sp.","Agathobacter",NA,"High"
"ASV149",257.550610458072,0.432171717821126,3.32781974350842,0.129866324239516,0.896672187973446,0.924422197659278,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia sp.","Marvinbryantia",NA,"NS"
"ASV44",631.382164045845,-25.1526186664352,3.53385888964036,-7.1176069707172,1.09816984456731e-12,2.43885219647656e-11,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group sp.","Prevotellaceae NK3B31 group",NA,"Low"
"ASV2541",6.5001683221461,7.44554037390256,3.40782068860597,2.18483924309653,0.0289006355693574,0.0726605601814504,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus sp.","Streptococcus",NA,"NS"
"ASV1048",12.2020853124056,23.4204111860171,3.40437248218844,6.8795090162877,6.00591968923937e-12,6.95903303122736e-11,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"High"
"ASV1577",13.9505071295903,8.54587138017668,3.40387526658648,2.51063000576598,0.0120515937017111,0.0408860333418573,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV35",5543.23552524357,-3.19754224876328,2.58377327403558,-1.23754753596048,0.215883877976121,0.280649041368957,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera sp.","Megasphaera",NA,"NS"
"ASV5824",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora sp.","Asaccharospora",NA,"NS"
"ASV36",11074.1657324837,-29.0791975994981,3.53382258924326,-8.2288221508384,1.89063239542533e-16,3.35902355587233e-14,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"Low"
"ASV330",13.0754840736196,23.5228184211304,3.40410598450388,6.91013103828453,4.84206224416786e-12,6.29468091741822e-11,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia sp.","Roseburia",NA,"High"
"ASV1400",24.8919121318502,9.3815422819613,3.4023576053657,2.75736514796861,0.00582692421477644,0.0221839329033989,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV47",620.622323845898,-25.0456600717152,3.5338595613341,-7.08733882516259,1.36715378454561e-12,2.91477186865125e-11,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus pontis","Lactobacillus","pontis","Low"
"ASV7822",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora sp.","Asaccharospora",NA,"NS"
"ASV191",828.567742192559,7.59283452796437,3.33381195689423,2.27752333549065,0.0227549927494942,0.0681371412105641,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella sp.","Parasutterella",NA,"NS"
"ASV252",117.372749554109,0.1144883775615,3.23838772368632,0.0353535114785995,0.971797853983076,0.979146041914895,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV1085",5.07944593490621,-4.28959697244504,3.5386140724017,-1.21222514936014,0.225426207005025,0.288134696243833,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV2168",9.95248806023361,3.14872135768829,3.34851738547165,0.94033298777237,0.347046783799092,0.415384305916832,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV2257",3.14697906507907,-3.59807394020205,3.54153978195282,-1.01596315775904,0.309646931117614,0.375949463065349,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera sp.","Megasphaera",NA,"NS"
"ASV2553",11.3270622564349,8.24464157098455,3.40467644190969,2.42156390237191,0.0154538836914489,0.0484524706326016,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV112",21.828418106781,-20.5981914968808,3.53493075936909,-5.8270424229065,5.64182744954454e-09,2.9249194567408e-08,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"Low"
"ASV3043",3.64671839967122,-3.80206528105866,3.54052862571999,-1.07386938024982,0.282881228630648,0.353104671803595,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV6853",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella sp.","Holdemanella",NA,"NS"
"ASV6422",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV426",21.5430653014343,-20.576218019185,3.53494680604247,-5.82079990115069,5.85666524648661e-09,3.00154093882439e-08,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"Low"
"ASV1606",11.5385076451465,1.26898842229073,3.34530921562933,0.379333670072111,0.704440099616148,0.755465941841865,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV266",359.370033414793,3.45884483577755,3.33223102807039,1.03799670750335,0.299271587945215,0.37095757296465,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV601",39.2524508060881,10.0385067709812,3.40164987709295,2.95106996125073,0.00316675179331798,0.0130856772695169,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus sp.","Streptococcus",NA,"NS"
"ASV26",56.7631053244916,-21.8868214364643,3.53424851187575,-6.19277941630886,5.91124296315551e-10,3.35180053123605e-09,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio sp.","Anaerovibrio",NA,"Low"
"ASV277",346.892726685249,-1.19477577093782,3.33292265643778,-0.35847689673507,0.719986454377282,0.77058791201424,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella sp.","Olsenella",NA,"NS"
"ASV248",73.2796553725554,-22.2335920263859,3.53415209353736,-6.29106825001753,3.15288665135461e-10,1.84669075293627e-09,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera sp.","Megasphaera",NA,"Low"
"ASV3122",7.41276509278051,7.6332690461684,3.40691896012969,2.24051969991028,0.0250572033098741,0.0726605601814504,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV462",60.2737655682327,0.976946966757353,2.87888744780477,0.339348788193266,0.734346993079634,0.777951948660476,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV3113",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV75",69.3633877928173,1.595682116228,3.33387960007773,0.478626197595975,0.632204577764544,0.691919999894255,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group sp.","Prevotellaceae NK3B31 group",NA,"NS"
"ASV71",3732.14865182997,6.52829525118913,3.33195519736262,1.95929862933228,0.0500778241905415,0.0875130501428151,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella sp.","Parasutterella",NA,"NS"
"ASV2278",10.8778327023669,23.2544244919679,3.40484761208286,6.82979890478636,8.5033745956586e-12,8.55150690469062e-11,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"High"
"ASV37",7390.70937057947,2.80973470979605,2.07726307108796,1.3526138065529,0.176179039348816,0.23593826123849,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 butyricum","Clostridium sensu stricto 1","butyricum","NS"
"ASV50",4595.18348521247,1.03024144425082,3.00410401692632,0.342944664514287,0.73164008961294,0.776821051322106,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae UCG-002 bacterium","Erysipelotrichaceae UCG-002","bacterium","NS"
