"","Genus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"68","Romboutsia","Abundance","Lactobacillus","Romboutsia",15,4,0,0.000516,0.04644,"*",152.95136,2,5
"69","Romboutsia","Abundance","Lactobacillus","Streptococcus",15,1,8,1,1,"ns",165.495817142857,2,6
"70","Romboutsia","Abundance","Escherichia-Shigella","Prevotella",3,1,3,0.5,1,"ns",178.040274285714,3,4
"71","Romboutsia","Abundance","Escherichia-Shigella","Romboutsia",3,4,0,0.057,1,"ns",190.584731428571,3,5
"72","Romboutsia","Abundance","Escherichia-Shigella","Streptococcus",3,1,0,0.5,1,"ns",203.129188571429,3,6
"73","Romboutsia","Abundance","Prevotella","Romboutsia",1,4,0,0.4,1,"ns",215.673645714286,4,5
"74","Romboutsia","Abundance","Prevotella","Streptococcus",1,1,0,1,1,"ns",228.218102857143,4,6
"75","Romboutsia","Abundance","Romboutsia","Streptococcus",4,1,4,0.4,1,"ns",240.76256,5,6
"76","Streptococcus","Abundance","Clostridium sensu stricto 1","Lactobacillus",19,16,154,0.961,1,"ns",40.22316,1,2
"77","Streptococcus","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",19,3,21,0.523,1,"ns",52.7676171428571,1,3
"78","Streptococcus","Abundance","Clostridium sensu stricto 1","Prevotella",19,1,13,0.7,1,"ns",65.3120742857143,1,4
"79","Streptococcus","Abundance","Clostridium sensu stricto 1","Romboutsia",19,4,35,0.845,1,"ns",77.8565314285714,1,5
"80","Streptococcus","Abundance","Clostridium sensu stricto 1","Streptococcus",19,1,0,0.1,1,"ns",90.4009885714286,1,6
"81","Streptococcus","Abundance","Lactobacillus","Escherichia-Shigella",16,3,7,0.064,1,"ns",102.945445714286,2,3
"82","Streptococcus","Abundance","Lactobacillus","Prevotella",16,1,13,0.471,1,"ns",115.489902857143,2,4
"83","Streptococcus","Abundance","Lactobacillus","Romboutsia",16,4,29,0.82,1,"ns",128.03436,2,5
"84","Streptococcus","Abundance","Lactobacillus","Streptococcus",16,1,0,0.118,1,"ns",140.578817142857,2,6
"85","Streptococcus","Abundance","Escherichia-Shigella","Prevotella",3,1,3,0.5,1,"ns",153.123274285714,3,4
"86","Streptococcus","Abundance","Escherichia-Shigella","Romboutsia",3,4,11,0.114,1,"ns",165.667731428571,3,5
"87","Streptococcus","Abundance","Escherichia-Shigella","Streptococcus",3,1,0,0.5,1,"ns",178.212188571429,3,6
"88","Streptococcus","Abundance","Prevotella","Romboutsia",1,4,0,0.4,1,"ns",190.756645714286,4,5
"89","Streptococcus","Abundance","Prevotella","Streptococcus",1,1,0,1,1,"ns",203.301102857143,4,6
"90","Streptococcus","Abundance","Romboutsia","Streptococcus",4,1,0,0.4,1,"ns",215.84556,5,6
