"","Barcode_name","ASVs_dada2","input","filtered","denoisedF","denoisedR","merged","nochim","perc_original_sequences","perc_ASV_sequences"
"102","FLD0110",51,44622,35069,34918,34896,33960,20869,46.768410201246,0.244381618668839
"103","FLD0111",267,32134,25162,24137,23798,18447,6559,20.4114022530653,4.07074249123342
"104","FLD0112",0,93,13,2,8,2,0,0,NA
"105","FLD0113",45,43593,30462,28980,28688,25854,23683,54.3275296492556,0.190009711607482
"106","FLD0114",46,25611,18249,17870,17801,16154,13988,54.6171566904846,0.328853302830998
"107","FLD0115",273,34187,27283,25887,25637,18514,6232,18.2291514318308,4.3806161745828
"108","FLD0116",161,47983,38015,37308,37342,33894,17271,35.9939978742471,0.932198483006195
"109","FLD0117",207,21805,16279,15364,14964,10671,3619,16.5971107544141,5.71981210279083
"110","FLD0118",108,37275,29005,28535,28449,26271,14365,38.5378940308518,0.7518273581622
"111","FLD0119",41,8991,6481,6293,6255,5564,3872,43.065287509732,1.05888429752066
"112","FLD0120",277,31451,25125,23734,23460,16307,6018,19.1345267241105,4.6028580923895
"113","FLD0121",95,31870,25510,25173,25158,23133,11945,37.4803890806401,0.795311845960653
"114","FLD0122",285,35831,28231,26812,26439,18996,7493,20.9120593899138,3.80354997998132
"115","FLD0123",1,7,6,4,4,4,4,57.1428571428571,25
"116","FLD0124",200,37670,29785,29007,28724,23238,11625,30.8601008760287,1.72043010752688
"117","FLD0125",31,20274,15656,15452,15402,14693,11200,55.2431685903127,0.276785714285714
"118","FLD0126",70,13533,10194,9924,9900,9392,7174,53.0111579102934,0.975745748536381
"119","FLD0127",50,8694,6006,5536,5543,5262,3908,44.9505406027145,1.27942681678608
"120","FLD0128",72,12880,9784,9486,9465,8749,5681,44.1071428571429,1.26738250308044
"121","FLD0129",41,27004,17525,16340,16246,15000,13334,49.3778699451933,0.307484625768712
"122","FLD0130",248,36001,28286,26693,26534,18701,7503,20.8410877475626,3.30534452885512
"123","FLD0131",247,54236,40777,39372,39452,34323,17615,32.4784276126558,1.40221402214022
"124","FLD0132",103,59918,44948,43175,42895,39890,31753,52.9940919256317,0.324378798853652
"125","FLD0133",195,25342,19988,18769,18605,13226,5349,21.107252781943,3.64554122265844
"126","FLD0134",248,28906,22687,21414,21089,15254,5749,19.8886044419844,4.31379370325274
"127","FLD0135",68,16703,10736,10064,9934,9444,7399,44.2974315991139,0.919043113934315
"128","FLD0136",122,36753,29804,29022,29125,25985,13923,37.8826218267896,0.876247935071464
"129","FLD0137",219,25512,20246,19047,19089,14142,5565,21.81326434619,3.93530997304582
"130","FLD0138",1,2,1,1,1,1,1,50,100
"131","FLD0139",8,761,599,556,569,482,444,58.3442838370565,1.8018018018018
"132","FLD0140",39,36965,29405,29128,29100,27464,26228,70.9536047612606,0.148696050022876
"133","FLD0141",256,31193,24847,23586,23408,17201,6763,21.6811464110538,3.78530238060033
"134","FLD0142",222,27026,21029,19886,19762,14580,5302,19.6181454895286,4.1870992078461
"135","FLD0143",104,18039,13992,13655,13776,13126,7925,43.9325904983647,1.31230283911672
"136","FLD0144",117,35842,28689,28140,28106,25746,13156,36.7055409854361,0.889328063241107
"137","FLD0145",1,1509,2,1,1,1,1,0.0662690523525514,100
"138","FLD0146",0,13,1,1,1,0,0,0,NA
"139","FLD0147",47,83651,68003,67690,67501,66384,57164,68.3363020167123,0.0822195787558603
"140","FLD0148",126,50969,38122,37106,36955,34295,21632,42.441484039318,0.582470414201184
"141","FLD0149",293,37157,29837,28126,27942,20192,6334,17.0465861075975,4.62582886011999
"142","FLD0150",41,5842,4408,4219,4198,3863,2954,50.5648750427936,1.38794854434665
"143","FLD0151",166,21589,17508,16532,16428,12203,4483,20.7652045022928,3.70287753736337
"144","FLD0152",217,28009,22536,21317,21144,15715,6284,22.4356456853154,3.45321451304901
"145","FLD0153",115,25626,19306,18520,18416,16335,10083,39.346757199719,1.14053357135773
"146","FLD0154",87,21843,15564,14876,14836,14144,8957,41.00627203223,0.971307357374121
"147","FLD0155",1,2,2,2,2,2,2,100,50
"148","FLD0156",293,38662,30686,29123,28925,21220,7240,18.7263980135534,4.04696132596685
"149","FLD0157",75,14851,10574,10312,10297,9420,6820,45.922833479227,1.09970674486804
"150","FLD0158",169,18680,15460,14586,14379,10716,4645,24.8661670235546,3.63832077502691
"151","FLD0160",40,10904,8079,7812,7819,6705,5031,46.1390315480558,0.795070562512423
"152","FLD0161",112,41405,30701,29799,29828,28476,20087,48.5134645574206,0.557574550704436
"153","FLD0162",33,16640,11902,10947,10576,9667,7763,46.6526442307692,0.425093391730001
"154","FLD0163",367,51985,41885,39991,39588,29527,9316,17.9205540059633,3.93945899527694
"155","FLD0164",99,35552,26997,25973,25905,23981,15287,42.9989873987399,0.647609079610126
"156","FLD0165",40,23732,17298,16933,16816,15050,11448,48.2386650935446,0.349406009783368
"157","FLD0166",307,37517,30718,29105,28669,20223,7286,19.4205293600235,4.21356025253912
"158","FLD0167",65,14127,10705,10363,10389,9715,5528,39.1307425497275,1.17583212735166
"159","FLD0168",100,54123,39426,37593,37322,34005,24743,45.7162389372356,0.40415471042315
"160","FLD0169",233,76738,61808,60694,60834,56032,25680,33.4645156245928,0.907320872274143
"161","FLD0170",107,48339,38305,37624,37568,35654,23108,47.8040505595896,0.463043101956033
"162","FLD0171",56,62492,49551,49163,49151,47523,30841,49.3519170453818,0.181576472877014
"163","FLD0172",84,32128,24871,24266,24350,22095,13848,43.1025896414343,0.606585788561525
"164","FLD0173",50,28254,20910,20422,20328,18791,15872,56.1761166560487,0.315020161290323
"165","FLD0174",43,9299,6752,6535,6468,6036,3815,41.0259167652436,1.12712975098296
"166","FLD0175",0,1,1,1,1,0,0,0,NA
"167","FLD0176",2,44,38,24,27,18,6,13.6363636363636,33.3333333333333
"168","FLD0177",28,75926,63514,63272,63252,62181,54654,71.9832468456128,0.0512313828813993
"169","FLD0178",121,52077,39397,38265,38187,35788,22672,43.5355339209248,0.533697953422724
"170","FLD0180",0,8,1,1,1,1,0,0,NA
"171","FLD0181",248,37398,29772,28472,28199,21610,7385,19.7470452965399,3.35815842924848
"172","FLD0182",51,26426,20554,20333,20246,19256,16229,61.4130023461742,0.314252264464847
"173","FLD0183",14,37737,31767,31677,31714,31467,28164,74.6323237141267,0.0497088481749751
"174","FLD0184",307,39438,31623,29645,29588,21513,8110,20.5639231198337,3.78545006165228
"175","FLD0185",207,65513,53981,52846,53016,48046,22428,34.2344267549952,0.922953451043339
"176","FLD0186",137,64034,49548,49044,49041,45880,17640,27.5478651966143,0.776643990929705
"177","FLD0187",284,44082,35842,34178,33973,25473,10135,22.9912435914886,2.80217069560927
"178","FLD0189",197,26131,20854,19848,19673,14775,6071,23.2329417167349,3.24493493658376
"179","FLD0190",189,25631,20453,19051,18996,13395,5105,19.9172876594749,3.70225269343781
"180","FLD0191",31,47216,38650,38469,38447,37386,33086,70.0737038292104,0.093695218521429
"181","FLD0192",229,26844,21085,19947,19762,14016,5300,19.7437043659663,4.32075471698113
"182","FLD0195",130,36746,28069,26423,26294,24296,16666,45.3545964186578,0.78003120124805
"183","FLD0196",3,52,29,21,23,14,12,23.0769230769231,25
"184","FLD0197",44,25803,20845,20192,20104,18732,16351,63.3686005503236,0.269096691333863
"185","FLD0198",161,20064,16510,15686,15582,11702,4720,23.5247208931419,3.41101694915254
"186","FLD0199",142,19755,16772,16024,15966,12386,5558,28.134649455834,2.55487585462397
"187","FLD0200",6,119,89,57,57,48,44,36.9747899159664,13.6363636363636
"188","FLD0201",4,329,180,155,156,149,117,35.5623100303951,3.41880341880342
"189","FLD0202",76,29271,22949,22550,22491,21085,16524,56.4517782105155,0.459937061244251
"190","FLD0203",381,58355,46163,44150,44030,34264,13128,22.49678690772,2.90219378427788
"191","FLD0204",103,37243,30747,30217,30363,27737,16733,44.929248449373,0.615550110559971
"192","FLD0205",194,25798,20881,19760,19636,14124,5308,20.5752383905729,3.65486058779201
"193","FLD0206",49,14307,10600,10350,10234,9139,5921,41.3853358495841,0.827562911670326
"194","FLD0207",210,29334,23747,22747,22363,17749,6383,21.759732733347,3.28998903336989
"195","FLD0208",36,31192,25910,25830,25787,25293,7458,23.9099769171582,0.482703137570394
"196","FLD0209",93,25862,20304,19742,19583,16282,8849,34.2162245765989,1.05096621087128
"197","FLD0210",412,49678,39420,37402,36714,25192,8563,17.2370063207053,4.81139787457667
"198","FLD0211",170,49171,40561,39735,39753,36005,19162,38.9701246669785,0.887172528963574
"199","FLD0212",237,27700,22800,21787,21615,16569,6734,24.3104693140794,3.51945351945352
"200","FLD0213",29,54312,45273,45086,45062,44669,39435,72.6082633672117,0.0735387346266007
"201","FLD0214",56,44962,33941,32480,32056,28099,24486,54.4593212045728,0.228702115494568
"202","FLD0215",47,28059,23855,23573,23548,22751,17906,63.8155315585017,0.262481849659332
"203","FLD0216",48,11273,8265,8007,7938,7490,5255,46.6158076820722,0.913415794481446
"204","FLD0217",53,50283,40378,40166,40173,39240,26031,51.7689875305769,0.203603395950982
"205","FLD0219",42,47805,35199,33136,32542,28749,25888,54.1533312415019,0.162237330037083
"206","FLD0220",0,69,42,19,25,14,0,0,NA
"207","FLD0221",215,30638,23764,22664,22491,16620,6141,20.0437365363274,3.50105845953428
"208","FLD0222",26,41810,33847,33630,33668,33221,30089,71.9660368332935,0.0864103160623484
"209","FLD0223",29,34917,28369,28077,28061,27213,26411,75.6393733711373,0.109802733709439
"210","FLD0224",95,27190,21687,21046,21100,18114,11079,40.7465980139757,0.857478111742937
